store_key	storename	address	telno	region_name	province_name	city_muni_name	latitude	longitude	Wheelchair-YES	Audio-YES
810	Macabebe	Poblacion Macabebe Pampanga	923	REGION III (Central Luzon)	PAMPANGA	MACABEBE	14.908	120.716		
819	St Luke's 2	St Lukes Medical Bldg E Rodriguez Sr Quezon City	7230101	NCR - National Capital Region	"NCR, SECOND DISTRICT"	QUEZON CITY	14.6222	121.024		
839	Total Tarlac	Mcarthur Highway Tarlac City Tarlac	923	REGION III (Central Luzon)	TARLAC	CITY OF TARLAC (Capital)	15.4581	120.6		
847	Alaminos	Across Nepo Mart Alaminos City Pangasinan	922	REGION I (Ilocos Region)	PANGASINAN	CITY OF ALAMINOS	16.1553	119.981		
849	Caltex San Simon	McArthur Hiway San Simon Exit Pampanga		REGION III (Central Luzon)	PAMPANGA	ANGELES CITY	14.9929	120.778		
848	Total Balintawak	Brgy Unang Sigaw Balintawak Edsa Quezon City	3648751	NCR - National Capital Region	"NCR, SECOND DISTRICT"	QUEZON CITY	14.6577	121.003		
678	Xevera	Brgy Tabun Mac Arthur Highway Mabalacat Pampanga	932	REGION III (Central Luzon)	PAMPANGA	MABALACAT	15.2444	120.564		
724	The Manila Residences	GF The Manila Residences Taft Ave Malate Manila		NCR - National Capital Region	"NCR, CITY OF MANILA, FIRST DISTRICT"	MALATE	14.5654	120.994		
748	Camp John Hay	Space 4 Baguio Technohub Camp John Hay Baguio	923	CAR - Cordillera Administrative Region	BENGUET	BAGUIO CITY	16.3986	120.609		
811	Tanauan 3	Pres Laurel Highway cor Molave St Tanauan Batangas		REGION IV-A (CALABARZON)	BATANGAS	CITY OF TANAUAN	14.1655	121.153		
822	Palico 2	Palico Imus Cavite		REGION IV-A (CALABARZON)	CAVITE	IMUS	14.4275	120.945		
796	San Fernando 4	Abad Santos St Poblacion San Fernando Pampanga	948	REGION III (Central Luzon)	PAMPANGA	CITY OF SAN FERNANDO (Capital)	15.0466	120.692		
826	Phoenix	Phoenix Lucena Maharlika Highway Lucena City		REGION IV-A (CALABARZON)	QUEZON	LUCENA CITY (Capital)	14.0742	121.324		
841	United Paranaque	Tindalo cor E Services Road Paranaque City		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	CITY OF PARAãAQUE	14.4738	121.036		
874	KIDNEY CENTER	East Ave Quezon City	932	NCR - National Capital Region	"NCR, SECOND DISTRICT"	QUEZON CITY	14.6472	121.048		
889	Eastern Petroleum	Argonaut Highway cor Rizal Ave SBMA Zambales	2500919	REGION III (Central Luzon)	ZAMBALES	SUBIC	14.8499	120.302		
812	Paciano	Paiano Hoghway Brgy Paciano Rizal Calamba Laguna		REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	14.2132	121.136		
815	Pila Highway	Brgy Labuin Pila Laguna		REGION IV-A (CALABARZON)	LAGUNA	PILA	14.2549	121.395		
829	Areza	Natioanl Highway Brgy Canlalay		REGION IV-A (CALABARZON)	LAGUNA	BIãAN	14.3376	121.074		
835	Banaue 2	Banawe St Brgy Josefa Quezon City	8613264	NCR - National Capital Region	"NCR, SECOND DISTRICT"	QUEZON CITY	14.6237	121.008		
852	Bucandala	Patindig Araw Alapan Road Bucandala Imus Cavite		REGION IV-A (CALABARZON)	CAVITE	IMUS	14.406	120.925		
855	UERM	R Magsaysay Blvd Ext Quezon City	5221704	NCR - National Capital Region	"NCR, SECOND DISTRICT"	QUEZON CITY	14.6081	121.021		
866	Gumaca	Andres Bonifacio St cor JP Rizal St Gumaca Quezon		REGION IV-A (CALABARZON)	QUEZON	GUMACA	14.1309	121.436		
872	Total San Pablo	Maharlika Highway San Pablo City Laguna		REGION IV-A (CALABARZON)	LAGUNA	SAN PABLO CITY	14.071	121.303		
856	Guimba	Salvador St Bargain St Guimba Nueva Ecija			NUEVA ECIJA	GUIMBA	15.6594	120.769		
