store_key	storename	address	telno	region_name	province_name	city_muni_name	latitude	longitude
636	Betterliving	Betterliving Subd., Don Bosco, Para?aque City		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.4854	121.04
638	Carmelray	Carmelray Industrial Park 2, Calamba, Laguna		REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	14.1711	121.134
639	Lingayen	Lingayen	0922	REGION I (Ilocos Region)	PANGASINAN	LINGAYEN (Capital)	16.0215	120.233
640	Managaldan	National Road, Mangaldan Pangasinan	0922	REGION I (Ilocos Region)	PANGASINAN	MANGALDAN	16.0667	120.404
641	Espa?a Grand	Espa?a cor., Tolentino cor., Eloisa, Metro Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	ERMITA	14.6065	120.989
643	EDSA Grand	EDSA cor Corregidor St Bago Bantay QC	5462701	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6573	121.024
644	Citrus	Brgy Minuyan San Jose Del Monte Bulacan	0922	REGION III (Central Luzon)	BULACAN	CITY OF SAN JOSE DEL MONTE	14.8122	121.046
645	MCU 3	EDSA Cor Serrano Ave Caloocan City	2637381	NCR - National Capital Region	NCR, THIRD DISTRICT	CALOOCAN CITY	14.6566	120.988
646	Pulilan (Castillo)	National Rd., Brgy., Pobalcion, Pulilan Bulacan	0923	REGION III (Central Luzon)	BULACAN	PULILAN	14.9003	120.85
648	Guada 4	, P. Burgos St., Guadalupe, Makati City		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5654	121.047
649	St. Francis Tower	St. Francis Drive, Ortigas Center, Pasig City	2637388	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.5797	121.057
650	Sienna del Monte	Barangay Manresa, SFDM, Quezon City	4138095	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.639	121.006
652	Lagro	Lagro Subd., Novaliches, Quezon City	4176874	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.7346	121.068
653	Bacoor 2	141 Evangelista St., Daang Bukid, Bacoor, Cavite		REGION IV-A (CALABARZON)	CAVITE	BACOOR	14.4579	120.937
654	Paniqui 2 (Tiansing Property)	MH Del Pilar Paniqui Tarlac	0922	REGION III (Central Luzon)	TARLAC	PANIQUI	15.6684	120.577
656	Marquinton Cordova Tower	Marquinton Cordova Tower, Marikina City	2637394	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MARIKINA	14.6353	121.101
657	G. Tuazon 2	1850 G. Tuazon St., Sampaloc, Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	SAMPALOC	14.6033	120.996
658	LRT2 Santolan	Lot2 c5-A, Santolan, Pasig City	0933	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.6222	121.087
659	Lung Center	Lung Center of the Phil Quezon Ave Quezon City	3764406	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6477	121.046
660	Scout Tobias	26 Timog Avenue Sct Tobias St Bgy Laging Handa QC	4820914	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6356	121.031
661	Tarlac Crossing	Poblacion 2, Tarlac City	0921	REGION III (Central Luzon)	TARLAC	CITY OF TARLAC (Capital)	15.4872	120.596
662	Lingayen 2	Artancho and Alvear Sts., Lingayen, Pangasinan	0922	REGION I (Ilocos Region)	PANGASINAN	LINGAYEN (Capital)	16.0301	120.228
663	Moriones (King Palace)	577 Moriones St.Tondo Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	TONDO I / II	14.6101	120.968
664	Tejeron (Esway Residence)	Tejeron St Sta. Ana Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	SANTA ANA	14.5764	121.011
665	A.Mabini (Guerrero Apartment)	A.Mabini St. Malate Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	MALATE	14.5711	120.983
668	V. Santos	16 V. Santos, Sto. Ni?o, Marikina City	9415607	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MARIKINA	14.6406	121.101
669	City Oil	City Oil	0923	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.7059	121.073
670	Mercedes (One Evergreen)	Evergreen 101, San Miguel Pasig City	0918	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.5665	121.062
672	Bauan 2	Manghinao Proper Bauan Batangas		REGION IV-A (CALABARZON)	BATANGAS	BAUAN	14.2727	121.455
673	Burke Quintin Paredes	Quintin Paredes Binondo Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	BINONDO	14.5997	120.975
674	Zapanta	Santa Rita St. Makati City		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5597	121.044
675	Patts	Dr. A. Santos Ave., San Isidro, Para?aque City		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.4726	121.005
676	Rivercity (Lui Bldg.)	Carreon St. Sta. Ana Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	SANTA ANA	14.5809	121.007
677	Tugatog	M..H del Pilar Rd Puresa St Tugatog Malabon City	4751074	NCR - National Capital Region	NCR, THIRD DISTRICT	CITY OF MALABON	14.6617	120.97
